time;x;y
20111.25;1603.5;439.5
20144.601990049752;1609.5;441.5
20177.9539800995;1609.5;437.5
20211.305970149253;1616.5;436.5
20244.657960199005;1612.5;429.5
20278.009950248754;1624.5;434.5
20311.361940298506;1625.5;437.5
20344.713930348258;1628.5;418.5
20378.06592039801;1634.5;430.5
20411.41791044776;1647.5;413.5
20444.76990049751;1644.5;409.5
20478.121890547263;1648.5;406.5
20511.473880597016;1642.5;413.5
20544.825870646764;1646.5;415.5
20578.177860696516;1660.5;392.5
20611.52985074627;1667.5;409.5
20644.88184079602;1669.5;398.5
20678.23383084577;1663.5;399.5
20711.58582089552;1667.5;398.5
20744.937810945274;1670.5;398.5
20778.289800995022;1672.5;395.5
20811.641791044774;1680.5;401.5
20844.993781094527;1677.5;396.5
20878.34577114428;1685.5;387.5
20911.697761194027;1692.5;372.5
20945.04975124378;1687.5;373.5
20978.40174129353;1693.5;373.5
21011.753731343284;1710.5;388.5
21045.105721393033;1713.5;365.5
21078.457711442785;1705.5;375.5
21111.809701492537;1716.5;374.5
21145.16169154229;1735.5;363.5
21178.513681592038;1736.5;357.5
21211.86567164179;1741.5;347.5
21245.217661691542;1757.5;359.5
21278.569651741294;1761.5;355.5
21311.921641791043;1769.5;362.5
21345.273631840795;1772.5;374.5
21378.625621890547;1788.5;347.5
21411.977611940296;1778.5;368.5
21445.329601990048;1794.5;365.5
21478.6815920398;1788.5;366.5
21512.033582089553;1803.5;367.5
21545.3855721393;1820.5;370.5
21578.737562189053;1799.5;376.5
21612.089552238805;1804.5;387.5
21645.441542288558;1821.5;367.5
21678.793532338306;1809.5;381.5
21712.14552238806;1830.5;388.5
21745.49751243781;1834.5;392.5
21778.849502487563;1838.5;396.5
21812.20149253731;1835.5;405.5
21845.553482587064;1856.5;400.5
21878.905472636816;1843.5;406.5
21912.257462686568;1839.5;411.5
21945.609452736317;1851.5;413.5
21978.96144278607;1852.5;416.5
22012.31343283582;1857.5;415.5
22045.66542288557;1863.5;430.5
22079.01741293532;1867.5;432.5
22112.369402985074;1875.5;431.5
22145.721393034826;1879.5;433.5
22179.073383084575;1880.5;431.5
22212.425373134327;1883.5;444.5
22245.77736318408;1872.5;432.5
22279.12935323383;1887.5;457.5
22312.48134328358;1882.5;451.5
22345.833333333332;1893.5;467.5
22379.185323383084;1904.5;466.5
22412.537313432837;1906.5;466.5
22445.889303482585;1907.5;465.5
22479.241293532337;1909.5;481.5
22512.59328358209;1900.5;492.5
22545.945273631838;1914.5;486.5
22579.29726368159;1917.5;499.5
22612.649253731342;1916.5;490.5
22646.001243781095;1917.5;497.5
22679.353233830843;1917.5;493.5
22712.705223880595;1917.5;505.5
22746.057213930348;1917.5;501.5
22779.4092039801;1918.5;509.5
22812.76119402985;1917.5;507.5
22846.1131840796;1918.5;510.5
22879.465174129353;1866.5;484.5
22912.817164179105;1874.5;534.5
22946.169154228854;1873.5;461.5
22979.521144278606;1888.5;503.5
23012.873134328358;1865.5;528.5
23046.22512437811;1887.5;517.5
23112.92910447761;1886.5;567.5
